teamA,teamB,city,home_ground_of,rankTeamA,pointsTeamA,RatingTeamA,rankTeamB,pointsTeamB,RatingTeamB,winner
Australia,New Zealand,Chandigarh,none,1,4889,129,3,4284,116,Australia
South Africa,West Indies,Jaipur,none,4,5131,112,8,2471,88,West Indies
Australia,West Indies,Mumbai,none,1,4889,129,8,2471,88,Australia
South Africa,India,Durban,South Africa,4,5131,112,2,5278,117,South Africa
South Africa,India,Cape Town,South Africa,4,5131,112,2,5278,117,South Africa
South Africa,India,Port Elizabeth,South Africa,4,5131,112,2,5278,117,South Africa
Bangladesh,Zimbabwe,Bogra,Bangladesh,7,3094,96,11,1250,45,Bangladesh
South Africa,India,Centurion,South Africa,4,5131,112,2,5278,117,South Africa
Bangladesh,Zimbabwe,Bogra,Bangladesh,7,3094,96,11,1250,45,Bangladesh
Pakistan,West Indies,Faisalabad,Pakistan,9,3721,87,8,2471,88,Pakistan
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Bangladesh
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Bangladesh
Pakistan,West Indies,Lahore,Pakistan,9,3721,87,8,2471,88,Pakistan
Pakistan,West Indies,NA,Pakistan,9,3721,87,8,2471,88,West Indies
Pakistan,West Indies,Karachi,Pakistan,9,3721,87,8,2471,88,Pakistan
New Zealand,Sri Lanka,Napier,New Zealand,3,4284,116,5,5811,106,Sri Lanka
New Zealand,Sri Lanka,Christchurch,New Zealand,3,4284,116,5,5811,106,New Zealand
New Zealand,Sri Lanka,Auckland,New Zealand,3,4284,116,5,5811,106,Sri Lanka
Australia,England,NA,Australia,1,4889,129,6,3968,98,Australia
Australia,New Zealand,Hobart,Australia,1,4889,129,3,4284,116,Australia
England,New Zealand,Hobart,none,6,3968,98,3,4284,116,England
Australia,England,Brisbane,Australia,1,4889,129,6,3968,98,Australia
Australia,New Zealand,NA,Australia,1,4889,129,3,4284,116,Australia
England,New Zealand,NA,none,6,3968,98,3,4284,116,New Zealand
Australia,England,NA,Australia,1,4889,129,6,3968,98,Australia
India,West Indies,Chennai,India,2,5278,117,8,2471,88,West Indies
Australia,New Zealand,Perth,Australia,1,4889,129,3,4284,116,Australia
England,New Zealand,Perth,none,6,3968,98,3,4284,116,New Zealand
India,West Indies,Vadodara,India,2,5278,117,8,2471,88,India
Australia,England,NA,Australia,1,4889,129,6,3968,98,England
Australia,New Zealand,NA,Australia,1,4889,129,3,4284,116,Australia
South Africa,Pakistan,Centurion,South Africa,4,5131,112,9,3721,87,South Africa
England,New Zealand,Brisbane,none,6,3968,98,3,4284,116,England
South Africa,Pakistan,Durban,South Africa,4,5131,112,9,3721,87,Pakistan
India,Sri Lanka,Kolkata,India,2,5278,117,5,5811,106,no result
Australia,England,NA,Australia,1,4889,129,6,3968,98,England
South Africa,Pakistan,Port Elizabeth,South Africa,4,5131,112,9,3721,87,no result
Australia,England,NA,Australia,1,4889,129,6,3968,98,England
India,Sri Lanka,Rajkot,India,2,5278,117,5,5811,106,Sri Lanka
South Africa,Pakistan,Cape Town,South Africa,4,5131,112,9,3721,87,South Africa
India,Sri Lanka,Margao,India,2,5278,117,5,5811,106,India
South Africa,Pakistan,Johannesburg,South Africa,4,5131,112,9,3721,87,South Africa
New Zealand,Australia,Wellington,New Zealand,3,4284,116,1,4889,129,New Zealand
India,Sri Lanka,Visakhapatnam,India,2,5278,117,5,5811,106,India
New Zealand,Australia,Auckland,New Zealand,3,4284,116,1,4889,129,New Zealand
New Zealand,Australia,Hamilton,none,3,4284,116,1,4889,129,New Zealand
West Indies,Pakistan,Jamaica,West Indies,8,2471,88,9,3721,87,West Indies
Australia,Scotland,St Kitts,none,1,4889,129,14,200,25,Australia
Ireland,Zimbabwe,Jamaica,none,10,549,50,11,1250,45,no result
England,New Zealand,St Lucia,none,6,3968,98,3,4284,116,New Zealand
Bangladesh,India,Trinidad,none,7,3094,96,2,5278,117,Bangladesh
Ireland,Pakistan,Jamaica,none,10,549,50,9,3721,87,Ireland
West Indies,Zimbabwe,Jamaica,West Indies,8,2471,88,11,1250,45,West Indies
Scotland,South Africa,St Kitts,none,14,200,25,4,5131,112,South Africa
Bangladesh,Sri Lanka,Trinidad,none,7,3094,96,5,5811,106,Sri Lanka
Pakistan,Zimbabwe,Jamaica,none,9,3721,87,11,1250,45,Pakistan
India,Sri Lanka,Trinidad,none,2,5278,117,5,5811,106,Sri Lanka
West Indies,Ireland,Jamaica,West Indies,8,2471,88,10,549,50,West Indies
Australia,South Africa,St Kitts,none,1,4889,129,4,5131,112,Australia
West Indies,Australia,Antigua,West Indies,8,2471,88,1,4889,129,Australia
South Africa,Sri Lanka,Guyana,none,4,5131,112,5,5811,106,South Africa
West Indies,New Zealand,Antigua,West Indies,8,2471,88,3,4284,116,New Zealand
England,Ireland,Guyana,none,6,3968,98,10,549,50,England
Australia,Bangladesh,Antigua,none,1,4889,129,7,3094,96,Australia
West Indies,Sri Lanka,Guyana,West Indies,8,2471,88,5,5811,106,Sri Lanka
Bangladesh,New Zealand,Antigua,none,7,3094,96,3,4284,116,New Zealand
Ireland,South Africa,Guyana,none,10,549,50,4,5131,112,South Africa
England,Sri Lanka,Antigua,none,6,3968,98,5,5811,106,Sri Lanka
Bangladesh,South Africa,Guyana,none,7,3094,96,4,5131,112,Bangladesh
Australia,England,Antigua,none,1,4889,129,6,3968,98,Australia
Ireland,New Zealand,Guyana,none,10,549,50,3,4284,116,New Zealand
West Indies,South Africa,Grenada,West Indies,8,2471,88,4,5131,112,South Africa
Bangladesh,England,Barbados,none,7,3094,96,6,3968,98,England
New Zealand,Sri Lanka,Grenada,none,3,4284,116,5,5811,106,Sri Lanka
Australia,Ireland,Barbados,none,1,4889,129,10,549,50,Australia
New Zealand,South Africa,Grenada,none,3,4284,116,4,5131,112,New Zealand
Bangladesh,Ireland,Barbados,none,7,3094,96,10,549,50,Ireland
Australia,Sri Lanka,Grenada,none,1,4889,129,5,5811,106,Australia
England,South Africa,Barbados,none,6,3968,98,4,5131,112,South Africa
Ireland,Sri Lanka,Grenada,none,10,549,50,5,5811,106,Sri Lanka
West Indies,Bangladesh,Barbados,West Indies,8,2471,88,7,3094,96,West Indies
Australia,New Zealand,Grenada,none,1,4889,129,3,4284,116,Australia
West Indies,England,Barbados,West Indies,8,2471,88,6,3968,98,England
New Zealand,Sri Lanka,Jamaica,none,3,4284,116,5,5811,106,Sri Lanka
Australia,South Africa,St Lucia,none,1,4889,129,4,5131,112,Australia
Australia,Sri Lanka,Barbados,none,1,4889,129,5,5811,106,Australia
Bangladesh,India,Mirpur,Bangladesh,7,3094,96,2,5278,117,India
Bangladesh,India,Mirpur,Bangladesh,7,3094,96,2,5278,117,India
Ireland,India,Belfast,Ireland,10,549,50,2,5278,117,India
Ireland,South Africa,Belfast,Ireland,10,549,50,4,5131,112,South Africa
India,South Africa,Belfast,none,2,5278,117,4,5131,112,South Africa
India,South Africa,Belfast,none,2,5278,117,4,5131,112,India
England,West Indies,London,England,6,3968,98,8,2471,88,England
India,South Africa,Belfast,none,2,5278,117,4,5131,112,India
England,West Indies,Birmingham,England,6,3968,98,8,2471,88,West Indies
England,West Indies,Nottingham,England,6,3968,98,8,2471,88,West Indies
Ireland,West Indies,Dublin,Ireland,10,549,50,8,2471,88,no result
Sri Lanka,Bangladesh,Colombo,Sri Lanka,5,5811,106,7,3094,96,Sri Lanka
Sri Lanka,Bangladesh,Colombo,Sri Lanka,5,5811,106,7,3094,96,Sri Lanka
Sri Lanka,Bangladesh,Colombo,Sri Lanka,5,5811,106,7,3094,96,Sri Lanka
Scotland,India,Glasgow,Scotland,14,200,25,2,5278,117,India
England,India,Southampton,England,6,3968,98,2,5278,117,England
Zimbabwe,South Africa,Bulawayo,Zimbabwe,11,1250,45,4,5131,112,South Africa
England,India,Bristol,England,6,3968,98,2,5278,117,India
Zimbabwe,South Africa,NA,Zimbabwe,11,1250,45,4,5131,112,South Africa
Zimbabwe,South Africa,NA,Zimbabwe,11,1250,45,4,5131,112,South Africa
England,India,Birmingham,England,6,3968,98,2,5278,117,England
England,India,Manchester,England,6,3968,98,2,5278,117,England
England,India,Leeds,England,6,3968,98,2,5278,117,India
England,India,London,England,6,3968,98,2,5278,117,India
England,India,London,England,6,3968,98,2,5278,117,England
India,Australia,Bangalore,India,2,5278,117,1,4889,129,no result
Sri Lanka,England,NA,Sri Lanka,5,5811,106,6,3968,98,Sri Lanka
India,Australia,Kochi,India,2,5278,117,1,4889,129,Australia
Sri Lanka,England,NA,Sri Lanka,5,5811,106,6,3968,98,England
India,Australia,Hyderabad,India,2,5278,117,1,4889,129,Australia
India,Australia,Chandigarh,India,2,5278,117,1,4889,129,India
Sri Lanka,England,Colombo,Sri Lanka,5,5811,106,6,3968,98,England
India,Australia,Vadodara,India,2,5278,117,1,4889,129,Australia
Sri Lanka,England,Colombo,Sri Lanka,5,5811,106,6,3968,98,Sri Lanka
India,Australia,Nagpur,India,2,5278,117,1,4889,129,Australia
India,Australia,Mumbai,India,2,5278,117,1,4889,129,India
Pakistan,South Africa,Lahore,Pakistan,9,3721,87,4,5131,112,South Africa
Pakistan,South Africa,Lahore,Pakistan,9,3721,87,4,5131,112,Pakistan
Pakistan,South Africa,Faisalabad,Pakistan,9,3721,87,4,5131,112,Pakistan
Pakistan,South Africa,NA,Pakistan,9,3721,87,4,5131,112,South Africa
Pakistan,South Africa,Lahore,Pakistan,9,3721,87,4,5131,112,South Africa
India,Pakistan,Guwahati,India,2,5278,117,9,3721,87,India
India,Pakistan,Chandigarh,India,2,5278,117,9,3721,87,Pakistan
India,Pakistan,Kanpur,India,2,5278,117,9,3721,87,India
India,Pakistan,Gwalior,India,2,5278,117,9,3721,87,India
India,Pakistan,Jaipur,India,2,5278,117,9,3721,87,Pakistan
South Africa,New Zealand,Durban,South Africa,4,5131,112,3,4284,116,South Africa
South Africa,New Zealand,Port Elizabeth,South Africa,4,5131,112,3,4284,116,New Zealand
Zimbabwe,West Indies,NA,Zimbabwe,11,1250,45,8,2471,88,Zimbabwe
South Africa,New Zealand,Cape Town,South Africa,4,5131,112,3,4284,116,South Africa
Zimbabwe,West Indies,NA,Zimbabwe,11,1250,45,8,2471,88,West Indies
Zimbabwe,West Indies,Bulawayo,Zimbabwe,11,1250,45,8,2471,88,West Indies
Australia,New Zealand,NA,Australia,1,4889,129,3,4284,116,Australia
Australia,New Zealand,NA,Australia,1,4889,129,3,4284,116,no result
Australia,New Zealand,Hobart,Australia,1,4889,129,3,4284,116,Australia
New Zealand,Bangladesh,Auckland,New Zealand,3,4284,116,7,3094,96,New Zealand
New Zealand,Bangladesh,Napier,New Zealand,3,4284,116,7,3094,96,New Zealand
New Zealand,Bangladesh,NA,New Zealand,3,4284,116,7,3094,96,New Zealand
South Africa,West Indies,Centurion,South Africa,4,5131,112,8,2471,88,South Africa
Pakistan,Zimbabwe,Karachi,Pakistan,9,3721,87,11,1250,45,Pakistan
Pakistan,Zimbabwe,Sind,Pakistan,9,3721,87,11,1250,45,Pakistan
South Africa,West Indies,Cape Town,South Africa,4,5131,112,8,2471,88,South Africa
Pakistan,Zimbabwe,NA,Pakistan,9,3721,87,11,1250,45,Pakistan
South Africa,West Indies,Port Elizabeth,South Africa,4,5131,112,8,2471,88,South Africa
Pakistan,Zimbabwe,Faisalabad,Pakistan,9,3721,87,11,1250,45,Pakistan
South Africa,West Indies,Durban,South Africa,4,5131,112,8,2471,88,South Africa
Pakistan,Zimbabwe,NA,Pakistan,9,3721,87,11,1250,45,Pakistan
Australia,India,Brisbane,Australia,1,4889,129,2,5278,117,no result
South Africa,West Indies,Johannesburg,South Africa,4,5131,112,8,2471,88,South Africa
India,Sri Lanka,Brisbane,none,2,5278,117,5,5811,106,no result
Australia,Sri Lanka,NA,Australia,1,4889,129,5,5811,106,Australia
New Zealand,England,Wellington,New Zealand,3,4284,116,6,3968,98,New Zealand
Australia,India,NA,Australia,1,4889,129,2,5278,117,India
New Zealand,England,Hamilton,none,3,4284,116,6,3968,98,New Zealand
Australia,Sri Lanka,Perth,Australia,1,4889,129,5,5811,106,Australia
New Zealand,England,Auckland,New Zealand,3,4284,116,6,3968,98,England
Australia,India,NA,Australia,1,4889,129,2,5278,117,Australia
India,Sri Lanka,NA,none,2,5278,117,5,5811,106,India
New Zealand,England,Napier,New Zealand,3,4284,116,6,3968,98,no result
Australia,Sri Lanka,NA,Australia,1,4889,129,5,5811,106,Australia
New Zealand,England,Christchurch,New Zealand,3,4284,116,6,3968,98,New Zealand
Australia,India,NA,Australia,1,4889,129,2,5278,117,Australia
India,Sri Lanka,Hobart,none,2,5278,117,5,5811,106,India
Australia,Sri Lanka,NA,Australia,1,4889,129,5,5811,106,Sri Lanka
Australia,India,NA,Australia,1,4889,129,2,5278,117,India
Australia,India,Brisbane,Australia,1,4889,129,2,5278,117,India
Bangladesh,South Africa,NA,Bangladesh,7,3094,96,4,5131,112,South Africa
Bangladesh,South Africa,Mirpur,Bangladesh,7,3094,96,4,5131,112,South Africa
Bangladesh,South Africa,Mirpur,Bangladesh,7,3094,96,4,5131,112,South Africa
Pakistan,Bangladesh,Lahore,Pakistan,9,3721,87,7,3094,96,Pakistan
West Indies,Sri Lanka,Trinidad,West Indies,8,2471,88,5,5811,106,West Indies
Pakistan,Bangladesh,Faisalabad,Pakistan,9,3721,87,7,3094,96,Pakistan
West Indies,Sri Lanka,Trinidad,West Indies,8,2471,88,5,5811,106,West Indies
Pakistan,Bangladesh,Lahore,Pakistan,9,3721,87,7,3094,96,Pakistan
West Indies,Sri Lanka,St Lucia,West Indies,8,2471,88,5,5811,106,no result
Pakistan,Bangladesh,NA,Pakistan,9,3721,87,7,3094,96,Pakistan
Pakistan,Bangladesh,Karachi,Pakistan,9,3721,87,7,3094,96,Pakistan
Bangladesh,Pakistan,Mirpur,Bangladesh,7,3094,96,9,3721,87,Pakistan
India,Pakistan,Mirpur,none,2,5278,117,9,3721,87,India
Bangladesh,India,Mirpur,Bangladesh,7,3094,96,2,5278,117,India
India,Pakistan,Mirpur,none,2,5278,117,9,3721,87,Pakistan
England,New Zealand,Chester-le-Street,England,6,3968,98,3,4284,116,England
England,New Zealand,Birmingham,England,6,3968,98,3,4284,116,no result
England,New Zealand,Bristol,England,6,3968,98,3,4284,116,New Zealand
Bangladesh,United Arab Emirates,Lahore,none,7,3094,96,13,300,32,Bangladesh
West Indies,Australia,St Vincent,West Indies,8,2471,88,1,4889,129,Australia
Bangladesh,Sri Lanka,Lahore,none,7,3094,96,5,5811,106,Sri Lanka
England,New Zealand,London,England,6,3968,98,3,4284,116,New Zealand
Pakistan,India,Karachi,Pakistan,9,3721,87,2,5278,117,India
Sri Lanka,United Arab Emirates,Lahore,none,5,5811,106,13,300,32,Sri Lanka
West Indies,Australia,Grenada,West Indies,8,2471,88,1,4889,129,Australia
Bangladesh,India,Karachi,none,7,3094,96,2,5278,117,India
England,New Zealand,London,England,6,3968,98,3,4284,116,New Zealand
Pakistan,Sri Lanka,Karachi,Pakistan,9,3721,87,5,5811,106,Sri Lanka
West Indies,Australia,Grenada,West Indies,8,2471,88,1,4889,129,Australia
Bangladesh,Sri Lanka,Karachi,none,7,3094,96,5,5811,106,Sri Lanka
Pakistan,India,Karachi,Pakistan,9,3721,87,2,5278,117,Pakistan
India,Sri Lanka,Karachi,none,2,5278,117,5,5811,106,India
Pakistan,Bangladesh,Karachi,Pakistan,9,3721,87,7,3094,96,Pakistan
West Indies,Australia,St Kitts,West Indies,8,2471,88,1,4889,129,Australia
India,Sri Lanka,Karachi,none,2,5278,117,5,5811,106,Sri Lanka
West Indies,Australia,St Kitts,West Indies,8,2471,88,1,4889,129,Australia
Ireland,Scotland,Dublin,Ireland,10,549,50,14,200,25,Ireland
Sri Lanka,India,NA,Sri Lanka,5,5811,106,2,5278,117,Sri Lanka
Sri Lanka,India,NA,Sri Lanka,5,5811,106,2,5278,117,India
England,South Africa,Leeds,England,6,3968,98,4,5131,112,England
Sri Lanka,India,Colombo,Sri Lanka,5,5811,106,2,5278,117,India
England,South Africa,Nottingham,England,6,3968,98,4,5131,112,England
Sri Lanka,India,Colombo,Sri Lanka,5,5811,106,2,5278,117,India
England,South Africa,London,England,6,3968,98,4,5131,112,England
Sri Lanka,India,Colombo,Sri Lanka,5,5811,106,2,5278,117,Sri Lanka
Australia,Bangladesh,Darwin,Australia,1,4889,129,7,3094,96,Australia
England,South Africa,London,England,6,3968,98,4,5131,112,England
Australia,Bangladesh,Darwin,Australia,1,4889,129,7,3094,96,Australia
England,South Africa,Cardiff,England,6,3968,98,4,5131,112,no result
Australia,Bangladesh,Darwin,Australia,1,4889,129,7,3094,96,Australia
Ireland,Zimbabwe,Nairobi,none,10,549,50,11,1250,45,Zimbabwe
South Africa,Bangladesh,Potchefstroom,South Africa,4,5131,112,7,3094,96,South Africa
Pakistan,West Indies,Abu Dhabi,none,9,3721,87,8,2471,88,Pakistan
India,England,Rajkot,India,2,5278,117,6,3968,98,India
Pakistan,West Indies,Abu Dhabi,none,9,3721,87,8,2471,88,Pakistan
India,England,Indore,India,2,5278,117,6,3968,98,India
India,England,Kanpur,India,2,5278,117,6,3968,98,India
Zimbabwe,Sri Lanka,NA,Zimbabwe,11,1250,45,5,5811,106,Sri Lanka
Zimbabwe,Sri Lanka,NA,Zimbabwe,11,1250,45,5,5811,106,Sri Lanka
India,England,Bangalore,India,2,5278,117,6,3968,98,India
Zimbabwe,Sri Lanka,NA,Zimbabwe,11,1250,45,5,5811,106,Sri Lanka
India,England,Cuttack,India,2,5278,117,6,3968,98,India
Zimbabwe,Sri Lanka,NA,Zimbabwe,11,1250,45,5,5811,106,Sri Lanka
New Zealand,West Indies,NA,New Zealand,3,4284,116,8,2471,88,no result
New Zealand,West Indies,Wellington,New Zealand,3,4284,116,8,2471,88,New Zealand
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Zimbabwe
Bangladesh,Sri Lanka,Mirpur,Bangladesh,7,3094,96,5,5811,106,Bangladesh
Australia,South Africa,NA,Australia,1,4889,129,4,5131,112,South Africa
Australia,South Africa,Hobart,Australia,1,4889,129,4,5131,112,Australia
Pakistan,Sri Lanka,Karachi,Pakistan,9,3721,87,5,5811,106,Pakistan
Pakistan,Sri Lanka,Karachi,Pakistan,9,3721,87,5,5811,106,Sri Lanka
Australia,South Africa,NA,Australia,1,4889,129,4,5131,112,South Africa
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Bangladesh
Pakistan,Sri Lanka,Lahore,Pakistan,9,3721,87,5,5811,106,Sri Lanka
Australia,South Africa,NA,Australia,1,4889,129,4,5131,112,South Africa
Sri Lanka,India,NA,Sri Lanka,5,5811,106,2,5278,117,India
Australia,South Africa,Perth,Australia,1,4889,129,4,5131,112,South Africa
Sri Lanka,India,Colombo,Sri Lanka,5,5811,106,2,5278,117,India
Australia,New Zealand,Perth,Australia,1,4889,129,3,4284,116,New Zealand
Sri Lanka,India,Colombo,Sri Lanka,5,5811,106,2,5278,117,India
Sri Lanka,India,Colombo,Sri Lanka,5,5811,106,2,5278,117,India
Australia,New Zealand,NA,Australia,1,4889,129,3,4284,116,New Zealand
Australia,New Zealand,NA,Australia,1,4889,129,3,4284,116,Australia
Sri Lanka,India,Colombo,Sri Lanka,5,5811,106,2,5278,117,Sri Lanka
Australia,New Zealand,NA,Australia,1,4889,129,3,4284,116,Australia
Australia,New Zealand,Brisbane,Australia,1,4889,129,3,4284,116,no result
New Zealand,India,Napier,New Zealand,3,4284,116,2,5278,117,India
New Zealand,India,Wellington,New Zealand,3,4284,116,2,5278,117,no result
New Zealand,India,Christchurch,New Zealand,3,4284,116,2,5278,117,India
New Zealand,India,Hamilton,none,3,4284,116,2,5278,117,India
New Zealand,India,Auckland,New Zealand,3,4284,116,2,5278,117,New Zealand
West Indies,England,Guyana,West Indies,8,2471,88,6,3968,98,England
West Indies,England,Guyana,West Indies,8,2471,88,6,3968,98,West Indies
West Indies,England,Barbados,West Indies,8,2471,88,6,3968,98,West Indies
West Indies,England,Barbados,West Indies,8,2471,88,6,3968,98,England
Ireland,Scotland,Benoni,none,10,549,50,14,200,25,Ireland
South Africa,Australia,Durban,South Africa,4,5131,112,1,4889,129,Australia
West Indies,England,St Lucia,West Indies,8,2471,88,6,3968,98,England
South Africa,Australia,Centurion,South Africa,4,5131,112,1,4889,129,South Africa
South Africa,Australia,Cape Town,South Africa,4,5131,112,1,4889,129,South Africa
South Africa,Australia,Port Elizabeth,South Africa,4,5131,112,1,4889,129,South Africa
South Africa,Australia,Johannesburg,South Africa,4,5131,112,1,4889,129,Australia
Afghanistan,Scotland,Benoni,none,12,618,41,14,200,25,Afghanistan
Australia,Pakistan,NA,none,1,4889,129,9,3721,87,Pakistan
Australia,Pakistan,NA,none,1,4889,129,9,3721,87,Australia
Australia,Pakistan,Abu Dhabi,none,1,4889,129,9,3721,87,Australia
Australia,Pakistan,Abu Dhabi,none,1,4889,129,9,3721,87,Australia
Australia,Pakistan,Abu Dhabi,none,1,4889,129,9,3721,87,Pakistan
England,West Indies,Bristol,England,6,3968,98,8,2471,88,England
England,West Indies,Birmingham,England,6,3968,98,8,2471,88,England
West Indies,India,Jamaica,West Indies,8,2471,88,2,5278,117,India
West Indies,India,Jamaica,West Indies,8,2471,88,2,5278,117,West Indies
West Indies,India,St Lucia,West Indies,8,2471,88,2,5278,117,India
West Indies,India,St Lucia,West Indies,8,2471,88,2,5278,117,no result
West Indies,Bangladesh,Dominica,West Indies,8,2471,88,7,3094,96,Bangladesh
West Indies,Bangladesh,Dominica,West Indies,8,2471,88,7,3094,96,Bangladesh
Sri Lanka,Pakistan,NA,Sri Lanka,5,5811,106,9,3721,87,Sri Lanka
West Indies,Bangladesh,St Kitts,West Indies,8,2471,88,7,3094,96,Bangladesh
Sri Lanka,Pakistan,NA,Sri Lanka,5,5811,106,9,3721,87,Sri Lanka
Sri Lanka,Pakistan,NA,Sri Lanka,5,5811,106,9,3721,87,Sri Lanka
Sri Lanka,Pakistan,Colombo,Sri Lanka,5,5811,106,9,3721,87,Pakistan
Sri Lanka,Pakistan,Colombo,Sri Lanka,5,5811,106,9,3721,87,Pakistan
Zimbabwe,Bangladesh,Bulawayo,Zimbabwe,11,1250,45,7,3094,96,Bangladesh
Zimbabwe,Bangladesh,Bulawayo,Zimbabwe,11,1250,45,7,3094,96,Bangladesh
Zimbabwe,Bangladesh,Bulawayo,Zimbabwe,11,1250,45,7,3094,96,Zimbabwe
Zimbabwe,Bangladesh,Bulawayo,Zimbabwe,11,1250,45,7,3094,96,Bangladesh
Zimbabwe,Bangladesh,Bulawayo,Zimbabwe,11,1250,45,7,3094,96,Bangladesh
Ireland,England,Belfast,Ireland,10,549,50,6,3968,98,England
England,Australia,London,England,6,3968,98,1,4889,129,Australia
England,Australia,London,England,6,3968,98,1,4889,129,Australia
Sri Lanka,New Zealand,Colombo,Sri Lanka,5,5811,106,3,4284,116,Sri Lanka
England,Australia,Southampton,England,6,3968,98,1,4889,129,Australia
India,New Zealand,Colombo,none,2,5278,117,3,4284,116,India
England,Australia,London,England,6,3968,98,1,4889,129,Australia
Sri Lanka,India,Colombo,Sri Lanka,5,5811,106,2,5278,117,Sri Lanka
Sri Lanka,India,Colombo,Sri Lanka,5,5811,106,2,5278,117,India
England,Australia,Nottingham,England,6,3968,98,1,4889,129,Australia
England,Australia,Nottingham,England,6,3968,98,1,4889,129,Australia
England,Australia,Chester-le-Street,England,6,3968,98,1,4889,129,England
South Africa,Sri Lanka,Centurion,South Africa,4,5131,112,5,5811,106,Sri Lanka
Pakistan,West Indies,Johannesburg,none,9,3721,87,8,2471,88,Pakistan
South Africa,New Zealand,Centurion,South Africa,4,5131,112,3,4284,116,South Africa
England,Sri Lanka,Johannesburg,none,6,3968,98,5,5811,106,England
Australia,West Indies,Johannesburg,none,1,4889,129,8,2471,88,Australia
India,Pakistan,Centurion,none,2,5278,117,9,3721,87,Pakistan
New Zealand,Sri Lanka,Johannesburg,none,3,4284,116,5,5811,106,New Zealand
South Africa,England,Centurion,South Africa,4,5131,112,6,3968,98,England
Australia,India,Centurion,none,1,4889,129,2,5278,117,no result
England,New Zealand,Johannesburg,none,6,3968,98,3,4284,116,New Zealand
Australia,Pakistan,Centurion,none,1,4889,129,9,3721,87,Australia
India,West Indies,Johannesburg,none,2,5278,117,8,2471,88,India
Australia,England,Centurion,none,1,4889,129,6,3968,98,Australia
New Zealand,Pakistan,Johannesburg,none,3,4284,116,9,3721,87,New Zealand
Australia,New Zealand,Centurion,none,1,4889,129,3,4284,116,Australia
India,Australia,Vadodara,India,2,5278,117,1,4889,129,Australia
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Zimbabwe
India,Australia,Nagpur,India,2,5278,117,1,4889,129,India
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Bangladesh
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Bangladesh
India,Australia,Delhi,India,2,5278,117,1,4889,129,India
India,Australia,Chandigarh,India,2,5278,117,1,4889,129,Australia
